STATE_NAME,minutes,percentage
Virginia,14710,12.09
Pennsylvania,10728,8.82
Texas,9473,7.79
Florida,7550,6.21
Colorado,5692,4.68
Tennessee,5477,4.5
Alabama,5037,4.14
Arizona,3945,3.24
California,3889,3.2
Connecticut,3872,3.18
Louisiana,3747,3.08
Mississippi,3538,2.91
New Jersey,3438,2.83
Indiana,3239,2.66
Ohio,3201,2.63
Utah,3026,2.49
Georgia,3007,2.47
North Carolina,2701,2.22
Illinois,2672,2.2
Massachusetts,2650,2.18
Nebraska,2457,2.02
Iowa,2334,1.92
New York,2276,1.87
South Carolina,2257,1.85
Arkansas,2001,1.64
Maryland,1824,1.5
New Mexico,1796,1.48
Oklahoma,1376,1.13
Missouri,976,0.8
West Virginia,758,0.62
Nevada,717,0.59
Kentucky,530,0.44
District of Columbia,476,0.39
Delaware,305,0.25
